No,Pertanyaan dan jawaban
1.,Apa yang dimaksud Bahan Tambahan pangan?
,"bahan yang ditambahkan dengan sengaja ke dalam makanan dalam jumlah kecil, dengan tujuan untuk memperbaiki penampakan, cita rasa, tekstur, dan memperpanjang daya simpan. "
2.,berapa dosis yang diberikan untuk bahan tambahan pangan?
,sebaiknya dosis yang diberikan ditentukan terlebih dahulu dan tidak boleh melebihi batas minimum
3.,apa yang dimaksud GRAS?
,Generally Reccognized as Safe merupakan zat yang aman untuk digunakan dan tidak berefek toksik. Contohnya gula (Glukosa)
4.,Apa yang dimaksud ADI?
,Acceptable Daily Intake harus ditentukan untuk batas penggunaan harian untuk menjaga dan melindungi kesehatan
5.,berapa dosis ADI yang bisa dikonsumsi?
,penggunaan ADI maksimum miligram perkilogram berat badan yang dikonsumsi perhari nya tanpa menimbulkan efek merugikan pada kesehatan.
6.,apakah boleh menggunakan bahan tambahan pangan?
,"penambahan bahan tambahan pangan diizinkan dan dilarang (yang disebut bahan tambahan kimia) yang tertera pada PERMENKES RI no 722/menkes/per/IX/88 yang telah diperbaharui oleh Permenkes No 
033 Tahun 2012"
7.,Bahan tambahan pangan apa saja yang boleh digunakan?
,"1. Antioksidan (antioxidant)
2. Antikempal (anticaking agent)
3. Pengatur keasaman (Acidity regulator)
4. Pemanis buatan (Artificial Sweetener)
5. Pemutih dan Pematang telur (Flour Treatment Agent)
6. Pengemulsi, Pemantap dan Pengental (Emulsifier, Stabilizer, Thickener)
7. Pengawet (Preservative)
8. Pengeras (Firming agent)
9. Pewarna (Colour)
10. Penyedap rasa dan aroma, Penguat rasa (flavour, flavour enhancer)
11. Sekuestran (Sequestrant)"
8.,bahan tambahan pangan apa yang dilarang untuk digunakan dalam makanan (Permenkes no 722):
,"1. Natrium tetraborat (Boraks)
2. Formalin (formaldehyde)
3. Minyak nabati yang dibrominasi (Brominated Vegetable Oils)
4. Kloramfenikol Chloramphenycol)
5. Kalium Klorat (Potassium Chlorate)
6. Dietilpirokarbonat (diethylpyrocarbonate, DEPC)
7. Nitrofuranzon (Nitrofuranzone)
8. P-Phenetilkarbamida (p-Phenethycarbamide, Dulcin, 4-ethoxyphenyl urea)
9. Asam salisilat dan garamnya (Salicylic acid and its salts)

Permenkes RI No. 1168/Menkes/PER/X/1999: 
1. Rhodamin B (pewarna merah), 
2. methanyl yellowi (pewarna kuning), 
3. dulsin (pemanis sintetis), 
4. kalsium bromat (pengeras)."
9.,jenis Bahan tambahan pangan apa yang digunakan dalam pangan menurut Permenkes 033/2012
,"1. Antibuih (Antifoaming agent);
2. Antikempal (Anticaking agent);
3. Antioksidan (Antioxidant);
4. Bahan pengkarbonasi (Carbonating agent);
5. Garam pengemulsi (Emulsifying salt);
6. Gas untuk kemasan (Packaging gas)
7. Humektan (Humectant);
8. Pelapis (Glazing agent);
9. Pemanis (Sweetener);
10. Pembawa (Carrier);
11. Pembentuk gel (Gelling agent);
12. Pembuih (Foaming agent);
13. Pengatur keasaman (Acidity regulator);"
10.,"jenis bahan tambahan apa yang digunakan dalam pangan menurut 
Permenkes 033/2012"
,"14. Pengawet (Preservative);
15. Pengembang (Raising agent);
16. Pengemulsi (Emulsifier);
17. Pengental (Thickener);
18. Pengeras (Firming agent);
19. Penguat rasa (Flavour enhancer);
20. Peningkat volume (Bulking agent);
21. Penstabil (Stabilizer);
22. Peretensi warna (Colour retention agent);
23. Perisa (Flavouring);
24. Perlakuan tepung (Flour treatment agent);
25. Pewarna (Colour);
26. Propelan (Propellant); dan
27. Sekuestran (Sequestrant)."
11.,bahan apa saja yang dilarang digunakan sebagai bahan tambahan pangan?
,"1. Asam borat dan senyawanya (Boric acid)
2. Asam salisilat dan garamnya (Salicylic acid and its salt)
3. Dietilpirokarbonat (Diethylpyrocarbonate, DEPC)
4. Dulsin (Dulcin)
5. Formalin (Formaldehyde)
6. Kalium bromat (Potassium bromate)
7. Kalium klorat (Potassium chlorate)
8. Kloramfenikol (Chloramphenicol)
9. Minyak nabati yang dibrominasi (Brominated vegetable oils)
10.Nitrofurazon (Nitrofurazone)11.Dulkamara (Dulcamara)
12.Kokain (Cocaine)
13.Nitrobenzen (Nitrobenzene)
14.Sinamil antranilat (Cinnamyl anthranilate)
15.Dihidrosafrol (Dihydrosafrole)
16.Biji tonka (Tonka bean)
17.Minyak kalamus (Calamus oil)
18.Minyak tansi (Tansy oil)
19.Minyak sasafras (Sasafras oil)"
12.,apa yang dimaksud dengan bahan pengawet?
,senyawa yang mampu mengambat dan menghentikan proses fermentasi dan pengasaman
13.,apa tujuan dari menggunakan bahan pengawet?
,untuk mempertahankan kualitas dan memperpanjang umur simpan bahan pangan
14.,apa saja persyaratan untuk menggunakan bahan pengawet kimia?
,"1. Memberi arti ekonomis dari pengawetan
2. Digunakan hanya apabila cara-cara pengawetan yang lain tidak 
mencukupi atau tidak tersedia
3. Memperpanjang umur simpan dalam pangan
4. Tidak menurunkan kualitas (warna, cita rasa dan bau) bahan 
pangan yang diawetkan
5. Mudah dilarutkan
6. Menunjukkan sifat-sifat antimikroba pada rentang pH bahan 
pangan yang diawetkanAman dalam jumlah yang diperlukan
7. Mudah ditentukan dengan analisis kimia
8. Tidak menghambat enzim-enzim pencernaan
9.Tidak mengalami dekomposisi atau tidak bereaksi untuk 
membentuk suatu senyawa kompleks yang bersifat lebih toksik
10. Mudah dikontrol dan didistribusikan secara merata dalam bahan 
pangan
11.Mempunyai spektra antimikroba yang luas"
15.,apa saja jenis bahan pengawet yang digunakan?
,"1. Pengawet kimia
2. Pengawet alami
3. Pengawet fisik
4. Pengawet oksidatif
5. Pengawet alami dan ekstrak tumbuhan"
16.,apa yang dimaksud pengawet kimia berikan contohnya
,"Pengawet kimia adalah senyawa kimia yang ditambahkan ke dalam makanan untuk tujuan menghambat pertumbuhan mikroorganisme, menjaga daya simpan, dan mempertahankan kualitas makanan.  Contohnya natrium benzoat,natrium nitrit dan asam sorbat"
17.,apa yang dimaksud pengawet alami dan berikan contohnya
,"zat atau senyawa yang berasal dari sumber alamiah, seperti tumbuhan, dan digunakan dalam makanan untuk tujuan pengawetan.  Contohnya garam,gula, dan asam askorbat (vitamin c)"
18.,apa yang dimaksud pengawet fisik dan berikan contohnya
