No,PERTANYAAN DAN JAWABAN
1,Apa itu budidaya ikan?
,kegiatan untuk memproduksi biota (organisme) akuatik secara terkontrol dalam rangka mendapatkan keuntungan (profit).
2,Bagaimana caranya agar usaha budidaya tidak dimakani oleh hama?
,Meningkatkan keamanan pada kolam budidaya agar hama tidak bisa masuk kembali
3,Apa produk yang di jual?
,"produk yang dijual adalah ikan nila dan ikan tombro ""ikan hidup"""
6,Berapa rata-rata omset yang di hasilkan selama 1 bulan?
,Tergantung dari pemesanan jika pemesanan banyak bisa mencapai 1.000.000 jika tidak bisa mencapai 500.000
7,Bagaimana cara untuk meningkatkan nilai produk usaha anda?
,Menjaga kualitas ikan yang kita jual agar konsumen puas dengan hasil ikan budidaya kita
8,Bagaimana cara untuk menarik pembeli agar lebih sering membeli usaha anda?
,Dengan cara menjalin kerja sama atau Bermitra dengan pelanggan sehingga dapat potongan harga dan bonus
9,Bagaimana cara mendapatkan pelanggan yang lebih banyak?
,Dengan melakukan promosi produk yang kita jual secara online dan offline
10,Bagaimana prospek berpikir bahwa  konsumen harus membeli produk anda?
,Karena produk yang kita jual berkualitas dan harga masih terjangkau
11,Apa yang melatar belakangi di jalanya usaha budidaya anda?
,Karena ingin memproduksi biota akuatik untuk memenuhi kebutuhan manusia akan pangan
12,Bagaimana proses budidaya ikan?
,"1. Persiapan wadah budidaya
2. Pemeliharaan induk
3. Seleksi induk
4. Pemijahan
5. Pemeliharaan larva
6. Pendederan
7. Pembesaran
8. panen"
13,Berapa produk yang dihasilkan dalam 1 kali produksi ikan?
,10.000-20.00 ekor
14,Berapa lama waktu yang di butuhkan dalam 1 kali produksi?
,kurang lebih dari 3 bulan
15,Berapa kisaran harga ikan yang di jual?
,sekitar 35.000-50.000/kg
16,Bagaimana proses packing ikan?
,"1. Siapkan kantong plastik packing
2. Masukan air bersih dimasukkan ke dalam kantong plastic packing
3. kemudian masukan ikan yang mau dipacking
4. Buang udara yang ada di kantong plastic packing dengan cara menekan kantong plastic packing ke permukaan air
5. Masukan oksigen dari tabung dialirkan ke kantong plastic packing dengan perbandingan air : oksigen = 1:2
6. Kemudian ikat kantong plastic packing hingga kencang"
17,Bagaimana proses penjualan ikan?
,Proses penjualan menggunakan 2 metode yaitu offline dan online
18,Bagaimana pemasaran produk budidaya untuk di kirim di luar daerah anda?
,Untuk pengiriman ke luar daerah menggunakan angkutan Darat/Udara
22,Bagaimana cara mengatasi masalah-masalah yang menghambat bisniis/kegiatan usaha anda?
,Dengan cara mengatasi parameter kualitas air dan melakukan biosecurity dalam menjalankan usaha budidaya yang dijalani
23,Bagaimana cara mempertahankan usaha budidaya ikan di era digital?
,Dengan melakukan cara promosi melalui social media marketing
24,Apa rencana kedepanya untuk perusahaan?
,Ingin menjadikan tempat kunjungan industri dan tempat pelatihan di bidang budidaya
25,Bagaimana cara  usaha budidaya supaya menigkat penjualanya?
,Mempromosikan dengan potongan harga dan diskon besar besaran dibulan tertentu
26,"Referensi Blogger kegiatan proyek kewirausahaan dan budidaya Ikan Nila, Ikan Mas"
,https://mohammadrafif20.blogspot.com/2021/10/budidaya-ikan-cupang.html
,"Rafif, 2023. Budidaya ikan cupang"
