,
No,PERTANYAAN DAN JAWABAN
1,Apa itu ikan Manfish?
,Ikan manfish atau sering disebut sebagai ikan bidadari adalah spesies ikan dari genus Pterophyllum yang paling umum dipelihara di penangkaran.
2,Bagaimana habitat ikan manfish?
,"Habitat asli ikan manfish dari perairan Amazon, Brazil, columbia dan Peru di wilayah Amerika selatan. Ikan Manfish hidup diperairan air tawar (pH 6 - 8) yang tenang arus airnya dan punya banyak tanaman air."
3,Ikan manfish bertelur apa beranak?
,"Ikan manfis merupakan jenis ikan yang bertelur, Dalam waktu 2-3 hari, telur ikan manfish akan menetas dan menjadi larva ikan kecil."
4,Bagaimana cara membedakan ikan manfish jantan dan betina?
,"Ikan manfish jantan memiliki tubuh lebih besar,sirip punggung panjang, gerigi besar,dibagian kepala terdapat benjolan,perut lebih menarik,tubuh lebih langsing (tipis). sedangkan ikan manfish betina memiliki tubuh kecil, sirip punggung pendek, gerigi halus, bagian kepala datar sampai punggung, penampilan kurang menarik, tubuh lebih gemuk."
5,Apa makanan ikan manfish?
,"Makanan ikan manfish adalah cacing darah, cacing sutra, kutu air, dan juga pelet pf500/pf1000 sesuaikan dengan bukaan mulut ikan manfish."
6,Apa itu pemijahan?
,"Pemijahan merupakan proses perkawinan antara ikan jantan dan ikan betina yang mengeluarkan sel telur dari betina, sel sperma dari jantan dan terjadi di luar tubuh ikan (eksternal)."
7,Berapa perbandingan ikan dalam pemijahan ikan manfish?
,1:1 satu jantan dan satu betina yang sudah matang indukan siap dipijahkan.
8,Berapa kali sehari pemberian pakan ikan manfish?
,Pemberian pakan ikan manfish sebaiknya dilakukan 2-3 kali sehari dengan takaran secukupnya.
9,Apakah manfish bisa hidup tanpa aerator?
,"Manfish memang bisa hidup tanpa aerator, akan tetapi untuk menjaga stamina dan suplay oksigen yang cukup, anda tentunya mesti menggunakannya"
10,Ikan manfish bisa digabung dengan ikan apa saja?
,"ikan manfish bisa digabung dengan beberapa ikan hias seperti, ikan molly,platy,guppy dll"
11,Apa ikan manfish cocok untuk aquascape?
,"Ikan manfish atau angelfish adalah salah satu jenis ikan yang cocok dipelihara di dalam aquascape karena mudah ditemukan. Tak hanya itu saja, ikan ini pun sangat mudah dirawat dan tidak terlalu rewel."
12,Berapa lam ikan manfish besar?
,"Rata-rata ikan manfish yang dirawat dengan baik sebenarnya akan mencapai panjang sekitar 15 cm di usia dewasa. Itupun memerlukan waktu sekitar 18 bulan pemeliharaan. Akan tetapi, jika Anda memeliharanya di akuarium yang sangat besar dan tidak penuh sesak, pertumbuhannya bisa mencapai 25 cm."
13,Berapa suhu yang tepat  untuk budidaya ikan manfish?
,Suhu air yang tepat untuk budidaya ikan manfish ialah antara 27-28 derajat celcius.
14,Apa ikan manfish perlu filter?
