NO,PERTANYAAN DAN JAWABAN
1,Apa yang di maksud dengan ikan lele
,Ikan lele adalah salah satu ikan air tawar yang memiliki ketahanan tubuh tinggi terhadap penyakit
2,Sebutkan macam macam penyakit ikan lele
,"1. penyakit bintik putih
2. penyakit jamur air
3. penyakit cotton wool"
3,Jelaskan penyakit bintik putih
,Penyakit bintik putih pada ikan lele disebabkan oleh protozoa
4,Apa penyebab cacar pada ikan lele?
,Penyakit cacar pada lele disebabkan oleh kolam yang kotor dan kurangnya perawatan yang memadai.
5,Apa saja hama dalam pembesaran ikan lele?
,"Hama ikan lele yang bersifat predator adalah musang, linsang, dan ular."
6,Apa yang menyebabkan lele berwarna putih?
,Penyebabnya adalah mutasi genetik yang membatasi produksi melanin.
7,Kenapa bibit lele banyak yang mati?
,"Jarang membersihkan kolam sehingga ada banyak kotoran yang dapat menimbulkan virus, hama, dan bakteri penyakit."
8,Bagaimana cara mengatasi ikan lele stres?
,"Cara untuk mengatasi lele agar tidak stres yakni dengan daun pepaya. Ambil selembar daun pepaya tua, lalu cacah sampai halus. Selanjutnya, tebar cacahan itu di kolam saat sore atau setelah lele berpindah kolam."
9,Apa ciri ciri ikan stres?
,"1. Nafsu Makan Berkurang.
2. Warna Tubuh Berubah.
3. Malas Bergerak."
10,Apa makanan alami ikan lele?
,"daun pepaya, daun singkong"
12,Berapa kg pakan lele untuk 1000 ekor?
,Adapun takaran pakan lele 1000 ekor per hari sebanyak 210 gram.
13,Berapa kali memberi pakan ikan lele?
,ikan lele diberi makan sebanyak 3-6 kali dengan interval waktu 2-4 jam
14,Bibit lele 1kg isi berapa?
,30ekor
15,Berapa berat lele umur 3 bulan?
,45-50 gram
16,Lele 5000 ekor butuh pakan berapa?
,Jadi setiap 5000 anakan lele ukuran 3-5 membutuhkan pakan ¼ kg per hari.
17,Pelet untuk lele ukuran berapa?
,"Pelet ikan lele ini dihadirkan dalam beberapa pilihan ukuran per butirnya. Ada ukuran 2 mm, 3 mm, 4 mm, dan 5 mm. Pemberian pakan ini bisa disesuaikan dengan tubuh ikan."
18,Apa yang dimaksud dengan lele sangkuriang?
,Lele sangkuriang adalah jenis hasil perbaikan genetika ikan lele dengan cara persilangan antara induk jantan generasi keenam (F6) dan induk betina generasi kedua (F2) yang kemudian menghasilkan jantan dan betina F2-6.
19,Berapa ekor bibit ikan lele per meter?
,Tebarkan benih ikan lele ke dalam kolam dengan kepadatan 200-400 ekor per meter persegi.
20,Berapa ukuran kolam untuk 500 ekor lele?
,"Berikut rekomendasi ukuran kolam agar perkembangbiakan lele menjadi lebih optimal: 3 x 2 meter untuk 500 ekor, 5 x 2 meter untuk 1.000 ekor"
21,Berapa modal untuk ternak lele?
,"Anda dapat menyiapkan biaya sebesar Rp2-3 jutaan saja, tergantung dengan jumlah bibit dan berapa banyak kolam yang Anda dapat persiapkan. Contohnya, untuk mempersiapkan kolam Anda dapat menyiapkan biaya sekitar Rp1 juta."
22,Apa yang dimaksud dengan lele mutiara?
,"Adapun ikan lele mutiara merupakan varietas unggul terbaru yang dirilis oleh BPPI Sukamandi, Subang, Jawa Barat pada 27 Oktober 2014."
23,Apa makanan ikan lele lokal?
,"Makanan utama ikan lele lokal di habitat aslinya yaitu, lele makan cacing, siput air, belatung, laron, jentik-jentik serangga, kutu air, dan larva serangga air."
24,Bagaimana cara budidaya ikan lele yang benar?
,"1.Bersihkan kolam dengan benar.
2.Benih ikan lele.
3.Padat tebar.
4.Pakan dan suplemen.
5.Lakukan pengawasan.
6.Jaga kebersihan kolam.
7.Gunakan probiotik."
25,Apakah lele besar memakan lele kecil?
,"Sifat kanibalisme juga bisa dipicu ukuran tubuh yang tidak seragam. Akibatnya, lele berukuran lebih besar cenderung memangsa temannya yang berukuran lebih kecil."
26,Referensi Blogger kegiatan proyek kewirausahaan dan budidaya Ikan lele
,http://ai123nul.blogspot.com/2023/09/kegiatan-kewirausahaan.html
,"Aidil, 2023. Budidaya ikan lele"
