No,Pertanyaan dan jawaban
1,Berapa lama proses pembenihan ikan lele sampai panen benih?
,15-21 hari 
2,ukuran berapa bibit lele yang siap di jual ?
,ukuran 3-4 s/d 5-7 cm
3,sejak kapan kegiatan pembenihan ini lakukan ?
,sejak tahun 2021
4,Berapa harga bibit lele per ukuran ?
,"size 34 (130), Size 35 (150), size 46 (180) size (200)"
5,apa kendala anda pada saat  pembenihan?
,"Kendalanya pada saat pembebrian pakan cacing sutra,jika musim penghujan kita mengalami kesusahan untuk pemeliharaanya karna ikan lele bersifat kanibalisme "
6,Berapa lama waktu inkubasi telur ikan lele?
,"Waktu inkubasi telur ikan lele bervariasi, tetapi biasanya berkisar antara 24 hingga 48 jam tergantung pada suhu air"
7,Bagaimana cara menjaga suhu yang cocok untuk pembenihan ikan lele?
,"Suhu air yang cocok untuk pembenihan ikan lele biasanya berkisar antara 26-28°C, dan bisa diatur dengan pemanas atau sirkulasi air"
8,Kapan waktu terbaik untuk melakukan pemijahan ikan lele?
,"Pemijahan ikan lele biasanya dilakukan di malam hari, saat suhu air lebih stabil."
9,Bagaimana cara menghindari penyakit pada larva ikan lele?
,"Menghindari overfeeding, menjaga kualitas air, dan mengisolasi larva yang sakit dapat membantu mencegah penyakit"
10,Apa yang dumaksud dengan ovulasi?
,Ovulasi adalah proses ketika sel telur yang sudah matang dikeluarkan dari ovarium atau indung telur ke tuba falopi untuk dibuah
11,Apa fungsi kakaban dalam pemijahan ikan?
,"Kakaban ialah sebuah media di dalam kolam pemijahan berupa ijuk, rumput alami dsb, yang dapat menjadi media melekatnya telur ikan ketika proses pemijahan selesai."
12,berapa rata rata hatching rate dalam proses pemijahan ikan lele dalam 1 siklus?
,65% daya tetas telur
13,Bagaimana cara menjaga kualitas air yang baik di kolam pemijahan?
,"dengan cara menerapkan Biosecurity , biosecurity sendiri merupakan seperangkat aturan yang diterapkan guna meminimalisir terjadinya resiko penularan penyakit "
14,Apa yang harus dilakukan jika pH air terlalu tinggi atau terlalu rendah?
,"kalau menurunkan ph menggunakan daun ketapang,kalau menaikkan ph menggunakan Kapur"
15,Apa yang harus dilakukan jika benih ikan lele tumbuh terlalu lambat?
,"Jika benih ikan lele tumbuh terlalu lambat, perlu diperiksa kualitas pakan, suhu air, dan faktor-faktor lain yang dapat memengaruhi pertumbuhan."
16,Apakah ada risiko penularan penyakit antara benih ikan lele?
,"ada risiko penularan penyakit antara benih ikan lele, terutama jika mereka ditempatkan dalam kolam atau wadah yang sama."
17,berapa dosis hormon ovaprim dan Nacl dalam proses penyuntikan ikan lele?
,"ovaprim (0,2 ml/kg) NAcl (0,3 ml/kg)"
18,Apa resiko yang terjadi jika telur yang menempel di kakaban lambat di angkat?
,air akan menjadi buruk dan akan terjadi jamur pada telur sehingga menimbulkan resiko kegagalan penetasan telur
19,berapa  ukuran wadah yang baik untuk proses pemijahan ikan lele?
,3 m x 1 m bak semen atau bak terpal
20,apakah larva ikan membutuhkan aerasi? dan apa resikonya jika tidak?
,"ya,karna fase pro larva dan post larva sangat rentan terhadap kualitas larutan oksigen sehingga jika tidak di gunakan larva akan kekurangan larutan oksigen"
21,pada umur berapa indukan lele yang siap untuk di pijahkan?
,jantan (8 bulan) betina (1 tahun)
22, warna apa telur ikan lele yanng matang?
,warna hijau kecoklatan
23,pada umur berapa larva ikan boleh di kasih makan ?
,kurang lebih umur 4 hari setelah fase pro-larva
24,resiko apa yang terjadi jika pemberian pakan berlebih ?
,ikan akan mengalami kekenyangan sehngga mengakibatkan ikan muntah menjadu stres dan munculnya patogen jahat berupa amoniak sehingga membuat kualitas air menjadi buruk sehingga menyebabkan ikan mati
25,Dimana target pasar anda?
,"target pasar saya adalah agen lele,masyarakat,TPI,dan suplayer bibit lele "
26,berapa bobot indukan lele yang siap untuk d pijahkan?
,(jantan 500 gram ) (Betina 800 gram)
27,Apa resiko jika tidak dilakukan pergantian air dalam budidaya perikanan?
,timbulnya amoniak yang tinggi sehngga menimbulkan bakteri jhat di waadah kolam
28,berapa macam jenis teknis pemijahan ikan lele?
,"3 macam (1.pemijahan alami,2. pemijahan semi alami,3.pemijahan buatan)"
29,pemijahan apa yang mendonorkan indukan jantan?
,pemijahan secara buatan
30,berapa perbandingan pemijahan ?
,1:1
31,Mengapa perlu dilakukan pendedern pada bibit lele?
,"Pemisahan ini dilakukan agar benih terlindung dari serangan hama, penyakit, dan perubahan lingkungan yang ekstrem. Kolam untuk pendederan bisa berupa kolam tanah, kolam semen, atau kolam terpal."
32,Apa yang harus dilakukan jika ada telur ikan yang tidak menetas?
,Telur yang tidak menetas biasanya harus diangkat dari kolam untuk mencegah kontaminasi dan pembusukan.
33,Bagaimana cara memastikan bahwa larva ikan lele tumbuh dengan baik?
,"Memantau makanan, suhu air, dan kebersihan kolam serta memberikan perawatan yang tepat dapat membantu larva ikan lele tumbuh dengan baik."
34,Apa jenis tumbuhan air yang baik sebagai pakan alami untuk ikan?
,"lemna,azola dan wolfia "
35,berapa ukuran ideal bibit lele siap tebar ?
,"Idealnya ukuran bibit ikan lele yang bagus untuk dibudidayakan adalah ukuran 2 cm, 4 cm, atau 7 cm"
36,hama apa yang sering menyerang benih ikan d wadah pemeliharaan?
,larva capung & kecebong
37,Apa saja jenis ikan lele yang umum dibudidayakan?
,"Beberapa jenis ikan lele yang umum dibudidayakan adalah ikan lele dumbo (Clarias gariepinus), ikan lele sangkuriang (Clarias batrachus), dan ikan lele lokal."
38,Apa saja ciri ciri benih ikan yang sehat ?
,Berasal dari induk yang berkualitas baik.Organ tubuh ikan lengkap dan tidak cacat.Tidak ada luka dibagian badan ikan.Ukuran bibit ikan seragam.
39,Apa yang dimaksud usaha pembenihan lele?
,"Usaha pembenihan merupakan kegiatan budi daya untuk menghasilkan benih lele yang siap untuk ditebar atau dibesarkan. Adapun kegiatan yang dilakukan meliputi pemijahan induk,penetasan telur,dan pemeliharaan burayak hingga benih lele siap tebar untuk pembesaran"
40,faktor apa saja yang mempengaruhi matang gonad ?
,"faktor yang mempengaruhi proses kematangan gonad induk yaitu faktor dalam (jenis ikan, hormon) dan faktor luar (suhu, makanan, intensitas cahaya)"
41,Bagaiman gejala ikan sakit?
,"bercak merah pada pangkal sirip, sisik tegak, bergerak lamban, keseimbangan terganggu, nafsu makan berkurang, mata menonjol, perut berisi cairan dan menggantung di permukaan."
42,apakah usaha anda sudah memiliki legalitas?
,"ya sudah, usaha saya memiliki legalitas NIB dan Kartu pembudidaya Kususka langsung dari KKP"
43,Apa keuntungan anda jika sudah memiliki legalitas?
,"keuntungan nya adalah sudah terdaftar sebagai pengusaha berstandar nasional ,dan sudah tergolong UMKM"
44,wadah apa yang anda gunakan pada saat proses pendederan bibit lele?
,menggunakan wadah jaring Happa atau jaring keramba 
45,Berapa kali Seminggu Penyortiran bibit lele di lakukan 
,1 X seminggu
46,alat apa yang di gunakan pada saat penyortiran benih lele 
,menggunakan keranjang grading yang sesuai dengan ukuran yg ingin di grading yaitu dari ukuran 1-2 s/d 7-9 cm
47,Apa yang anda lakukan jika terjadi Penipuan saat costumer mengorder produk anda?
,"mengevaluasi nya dan belajar untuk lebih bijak dalam proses transaksi barang ,dan tidak mudah percaya pada orang"
48,apa yang ada lakukan jika mengalami sepi orderan?
,dengan cara meningkatkan promosi dan menerapkan technical marketing baik itu secara online maupun offline
49,berapa orderan bibit terbanyak anda selama menjalani usaha ini?
,30.000 bibit 
50,apa tujuan yang ingin anda capai untuk kedepannya mengenai usaha anda?
,"ingin menjadikan farm saya sebagai tempat kunjungan industri,dan tempat pelatihan ,serta menjadikan farm saya ini menjadi CV atau PT "
,"Abian, 2023. Budidaya ikan lele"
