No,Pertanyaan dan jawaban
1,Apa yang di maksud dengan genetika & pemuliaan ikan?
,"Genetika dan Pemuliaan Ikan merupakan mata kuliah dasar yang sangat penting untuk memahami sel dan komponennya, substansi genetik, sintesa protein, proses pembentukan gamet (gametogenesis) pada ikan, fertilisasi, pertumbuhan, teori keturunan serta faktor- faktor yang mempengaruhi proses tersebut."
2,apa saja yang di pelajari dalam ilmu genetika 
,"Genetika adalah ilmu yang mempelajari tentang gen, struktur, proses pembentukan dan pewarisannya serta mempelajari mekanisme ekspresinya dalam mengendalikan sifat organisme"
3,mengapa perlu mempelajari ilmu genetika?
,"Genetika perlu dipelajari, agar kita dapat mengetahui sifat-sifat keturunan kita sendiri serta setiap makhuk hidup yang berada dilingkungan kita"
4,bagaimana peran pewarisan sifat dalam pemuliaan?
,"Pewarisan sifat juga berperan penting dalam pemuliaan hewan, yaitu dalam rangka untuk menghasilkan hewan ternak berkualitas tinggi, "
5,apq saja yang termasuk genetika?
,Cabang-cabang genetika genetika molekular.genetika sel (sitogenetikagenetika populasi.genetika kuantitatif.genetika perkembangan
6,berikan contoh genetika
,"Misalnya, adanya kesamaan ciri dan sifat yang kamu miliki dari satu keluarga."
7,apa faktor genetik bisa di ubah?
,genetik merupakan suatu komponen dalam gen hal ini terjadi oleh mutasi baru pada DNA biasanya hal ini diturunkan pada gen yang diwarisi dari orang tua. nah genetik ini adalah turun tidak bisa diubah dan dicegah jadi tidak bisa berubah karena faktor nutrisi ya.
8,jelaskan peran penting genetika!
,Peran ilmu genetika bagi kehidupan antara lain mengetahui sifat kelaian menurun pada manusia. Dengan mengetahui sifat kelainan menurun tersebut maka dapat menghindarinya. Genetika bermanfaat dalam bidang pertanian yaitu menghasilkan bibit tanaman unggul
9,apakah faktor genetik memengaruhi perilaku manusia?
,Maka dapat disimpulkan bahwa genetik memang mempengaruhi perilaku seseorang tapi hal itu tidak terlepas dari lingkungan serta pengalaman yang pernah dialaminya
10,kenapa genetik berperan penting dalam peristiwa Sifat pada makhluk hidup?
,karena dalam DNA terdapat instruksi atau perintah yang akan mempengaruhi sifat atau menentukan karakteristik makhluk hidup.
11,faktor apa saja yang mempengaruhi pewarisan sifat?
,Kromosom dan gen inilah yang mengendalikan pewarisan sifat pada makhluk hidup.
12,dimana letak materi genetik?
,"Materi genetik tersebut terdapat di berbagai sel di seluruh tubuh, misalnya pada sel-sel darah, sel tulang, sel gamet dan lain-lain, tepatnya materi genetika tersebut berada di dalam nukleus."
13,Apakah DNA termasuk genetika?
,"Artinya, materi genetik tersebut akan diturunkan dari induk kepada individu keturunannya. Materi genetik tersebut meliputi: gen, DNA, RNA, dan kromosom"
14,apa saja prinsip dasar dari rekayasa genetika?
,"Prinsip dasar teknologi rekayasa genetika adalah memanipulasi perubahan komposisi asam nukleat DNA atau menyelipkan gen baru ke dalam struktur DNA mahluk hidup penerima,"
15,bagaimana pengaruh gen terhadap pertumbuhan ?
,"Gen mempengaruhi ciri dan sifat makhluk hidup dimana pada tanaman mempengaruhi bentuk tubuh, warna bunga, dan rasa buah. Gen juga menentukan kemampuan metabolisme sehingga sangat mempengaruhi pertumbuhan dan perkembangan tanaman tersebut"
16,faktor apa saja yang mengakibatkan terjadinya Variasi genetik ?
,"Sumber terjadinya variasi genetik antara lain, mutasi, migrasi dan rekombinasi (Griffiths et al., 2000)."
17,apa yang di maksud dengan pemuliaan?
,merupakan kegiatan manusia dalam memelihara tumbuhan atau hewan untuk menjaga kemurnian galur atau ras sekaligus memperbaiki produksi atau kualitasnya
18,apa peran DNA dalam kegentika?
,DNA memiliki fungsi pembawa informasi genetik makhluk hidup.
19,"seperti apakah penerapan ilmu genetika. dalam kehidupan sehari-hari"""
,"contohnya penemuan bibit ungul, tanaman transgenik (tanaman hasil rekayasa genetika), teknologi hidroponik, kultur jaringan, dan pemandulan hama.6"
20,apakah kepribadian itu genetik?
,"Secara umum, para peneliti menemukan bahwa 50 persen dari kepribadian kita diturunkan melalui gen, termasuk ketaatan terhadap otoritas, kerentanan terhadap stres, dan keinginan untuk mengejar risiko. "
21,materi genetik apa yang berperan mengontrol pewarisan sifat pada makhluk 
,"Jadi, pewarisan sifat pada makhluk hidup ini dikendalikan oleh kromosom dan gen, ya. Keduanya berfungsi sebagai pembawa informasi genetik dan dapat menentukan sifat keturunannya."
22,bagaimana cara gen dapat mengendalikan Sifat makhluk hidup?
,Susunan nukleotida inilah yang akan mengarahkan pembentukan protein yang menjadi pembangun tubuh makhluk hidup.27
23,apakah yang di maksud dengan istilah genetika?
,cabang biologi yang berhubungan dengan pewarisan sifat dan ekspresi sifat-sifat menurun. 
24,materi genetik apa yang berperan?
,asam nukleat 
25,"apa saja materi genetik yang berperan,?"
,Ada dua macam asam nukleat yang berperan sebagai materi genetik yaitu DNA (deoxyribonucleic acid) dan RNA (ribonucleic acid).
26,apa perbedaan DNA dan GEN
,DNA adalah molekul pembawa sifat. Gen menentukan sifat pada makhluk hidup
27,apa fungsi dari gen?
,Gen berfungsi menurunkan informasi genetik dengan pengkodean protein
28,sebutkan 5 langkah rekayasa genetika?
,"1. Rekayasa Genetika,Identifikasi gen yang disisipkan.
2. Memotong gen dengan menggunakan enzim restriksi.
3. Ekstraksi gen yang dipotong,Ekstraksi plasmit bakteri,Penyisipan gen dengan enzim endonuklease.
4. Memasukan plasmit ke bakteri,Mengembangkan bakteri,Memanen produk."
29,apa tujuan dari rekayasa genetika?
,"Rekayasa Genetika adalah teknik memindahkan gen yang dikehendaki untuk mengembangkan dan memperbaiki sifat tanaman, hewan dan makhluk hidup lain"
30,apa saja keuntungan dari rekayasa genetika?
,"Keuntungan: a. Meningkatnya derajat kesehatan manusia, dengan diproduksinya berbagai hormon manusia seperti insulin dan hormon pertumbuhan. b. Tersedianya bahan makanan yang lebih melimpah. "
31,Teknik apa saja yang digunakan dalam rekayasa genetika?
,"pengunaan vektor, kloning, PCR (Polymerase Chain Reaction), dan seleksi, screening, serta analisis rekombinan"
32,apa saja contoh faktor genetik?
,Faktor genetika diantaranya asupan makanan dan keturunan
33,jelaskan apa yang dimaksud dengan variasi genetik?
,Keragaman genetik atau variasi genetik adalah perbedaan DNA antarindividu atau perbedaan antarpopulasi. Berbagai sumber keragaman genetik termasuk mutasi dan rekombinasi genetik.
34,apa yang di maksud dengan genom?
,"adalah keseluruhan informasi genetik yang dimiliki suatu sel atau organisme, atau khususnya keseluruhan asam nukleat yang memuat informasi tersebut."
35,bagaiman peran rekayasa genetika dalam memenuhi kebutuhan hidup manusia?
,dengan cara menyediakan kebutuhan pangan masa depan dengan kualitas yang lebih baik.
36,berapa jenis DNA manusia?
,"Berdasakan bentuknya, DNA dibedakan menjadi tiga, yaitu DNA-A, DNA-B, dan dan DNA-A."
37,bagaimana cara gen dapat mengendalikan Sifat makhluk hidup 
,Gen terdiri atas rantai panjang DNA yang terbentuk dari susunan nukleotida yang berbeda-beda pada setiap individunya. Susunan nukleotida inilah yang akan mengarahkan pembentukan protein yang menjadi pembangun tubuh makhluk hidup.
38,bagaimana hubungan antara gen DNA dan kromosom dilihat dari letaknya?
,Gen adalah bagian dari DNA karena segmen DNA membentuk gen. Selanjutnya gen-gen terangkai membentuk kromosom. Kromosom (eukariotik) terdiri dari DNA yang terangkai secara bersambung membentuk spiral dan berasosiasi dengan protein.
39,unit terkecil DNA di sebut apa?
,"Nukleotida: Unit terkecil penyusun DNA atau RNA yang tersusun atas molekul gula (deoksiribosa, basa nitrogen dan asam fosfat)."
40,berdasarkan apakah bentuk kromosom dibedakan menjadi 4 macam?
