No,PERTANYAAN DAN JAWABAN
1,Apa yang dimaksud dengan budidaya perikanan?
,Adalah kegiatan untuk memproduksi biota (organisme) akuatik secara terkontrol dalam rangka keuntungan (profit)
2,bagaimana solusi jika hasil budidaya anda di curi orang lain?
,meningkatkan keamanan di sekitar wilayah budidaya ikan
7,Bagaimana cara untuk menarik pembelian lebih sering dari pelanggan?
,dengan cara menjaga mutu & kualitas produk dan hasil benkuh yang di peroleh. Mdningkatkan daya tarik  pada produk kita
8,Bagaimana membawa prospek untuk berpikir bahwa ia harus membeli produk anda?
,dengan cara menjalin kerja sama atau Bermitra dengan pelanggan sehingga dapat potongan harga
9,Apa yang melatar belakangi di jalankanya usaha budidaya perikanan ?
,"karena ingin memproduksi biota akuatik untuk memenuhi kebutuhan manusia akan pangan,terutama protein."
10,Berapa produk yang dihasilkan dalam 1 kali produksi ikan?
,35.000 -75.000 benih
11,Berapa lama waktu yang di butuhkan dalam 1 kali produksi?
,30-45 hari
12,Berapa kisaran harga benih yang di jual?
,"sekitar 150,00 -600,00/ ekor"
13,Bagaimana proses pengemasan benih ikan
,pengemasan menggunakan plastik packing ukuran 35x55
14,Bagaimana proses penjualan benih ikan?
,dengan cara memasarkan produk trsb menggunakan metode online dan dan offline
15,Bagaimana pemasaran produk budidaya anda untuk di kirim di luar daerah anda?
,untuk distribusi ke luar daerah menggunakan angkutan Darat/Udara  dengan ongkir di tanggung pembeli
16,Apa saja jenis transaksi yang sering di lakukan dalam penjualan benih ikan?
,menggunakan jenis transaksi transfer via Rekening
19,Bagaimana cara anda mengatasi masalah-masalah yang menghambat bisnis/kegiatan usaha anda?
,dengan cara mengatasi parameter kualitas air dan melakukan biosecurity dalam menjalankan usaha budidaya tersebut
20,Bagaimana cara anda mempertahankan usaha budidaya anda di era digital?
,proses penjualan menggunakan 2 metode yaitu offline dan online
23,Bagaimana proses budidaya ikan?
,"1. persiapan wadah
2. pemeliharaan induk
3. seleksi induk
4. pemijahan secara induced breeding
5. pemeliharaan larva
6. pendederan"
24,Bagaimana cara mendapatkan pelanggan yang lebih banyak?
,dengan cara promosi melalui social media marketing
25,Bagaimana cara meningkatkan nilai produk pada prospek?
,"mempromosikan dengan potongan harga , menerapkan technical marketing"
26,Bagaimana cara anda utnuk menarik pembelian lebih sering dari pelanggan?
,dengan cara menjaga mutu & kualitas produk dan hasil benkuh yang di peroleh. Mdningkatkan daya tarik  pada produk kita
27,Bagaimana cara anda mengatasi masalah-masalah yang menghambat bisniis/kegiatan usaha anda?
,dengan cara mengatasi parameter kualitas air dan melakukan biosecurity dalam menjalankan usaha budidaya tersebut
28,Apa rencana kedepanya untuk perusahaan?
,"ingin menjadikan tempat kunjungan industri dan tempat pelatihan di bidang budidaya,dan ingin mendirikan CV.FARDU FARM"
29,Bagaimana proses penjualan benih ikan?
,dengan cara memasarkan produk trsb menggunakan metode online dan dan offline
30,Apa rencana kedepanya untuk perusahaahn?
,"ingin menjadikan tempat kunjungan industri dan tempat pelatihan di bidang budidaya,dan ingin mendirikan CV.FARDU FARM"
31,Referensi Blogger kegiatan proyek kewirausahaan dan budidaya Lobster
,https://abiansuryacentralbudidayaikan.blogspot.com/?m=1
,"Abian, 2023. Kewirausaan "
