No,Pertanyaan dan jawaban
1,Apa itu pasar dalam negeri dan luar negeri?
,Pemasaran Internasional adalah kegiatan Pemasaran yang melewati batas-batas lebih dari satu negara.
2,Apakah terdapat perbedaan antara pemasaran internasional dan pemasaran global?
,"Pemasaran Global adalah tempat seluruh dunia menjadi pasar bagi perusahaan. Hampir tidak ada perbedaan dalam produk yang tersedia secara global karena produknya persis sama. Sebaliknya, pemasaran internasional adalah pemasaran khusus negara dan strategi pemasaran mereka dirancang untuk memenuhi pasar lokal saja."
3,Apa saja bentuk pemasaran internasional?
,"Adapun strategi pemasaran internasional yang perlu kamu ketahui adalah:
1. Experiential Marketing.
2. Customer Lifetime Value (CLV).
3. Blue Ocean Strategy. 
4.Kualitas Jasa.
5. Ekuitas Merek.
6. Manajemen Hubungan Pemasaran.
7. Tanggung Jawab Sosial Perusahaan.
8. Network Marketing."
4,Apakah yang dimaksud dengan pemasaran dan manajemen pemasaran internasional?
,Manajemen pemasaran internasional adalah kegiatan memasarkan barang atau produk ke luar suatu negara dengan target pasar-pasar di luar negara tersebut.
5,Apa tujuan utama dari pemasaran internasional?
,"Tujuan utama pemasaran global adalah untuk memperluas pangsa pasar, meningkatkan penjualan, dan memperkuat citra merek perusahaan di pasar global. "
6,Apa manfaat dari pemasaran internasional?
,Manfaat pemasaran global lainnya yaitu akan menghasilkan produk yang berkualitas.
7,Jelaskan faktor faktor apa saja yang harus dipertimbangkan untuk melakukan kegiatan pemasaran internasional?
,"Berikut ini adalah enam faktor utama yang mampu mendorong pemasaran global.
1. Perbaikan Komunikasi dan Transportasi. 
2. Kualitas. 
3. Teknologi. 
4. Biaya Pengembangan Produk. 
5. Perjanjian Ekonomi Regional. 
6. Perkembangan Ekonomi Dunia."
8,Faktor apa saja yang mempengaruhi pemasaran internasional?
,"1. Perbaikan Komunikasi dan Transportasi. 
2. Teknologi. 
3. Kualitas. 
4. Perjanjian Ekonomi Antar Negara. 
5. Kebutuhan akan Biaya Pengembangan Produk. 
6. Dinamika dan Perkembangan Ekonomi Dunia."
9,Bagaimana sebuah perusahaan dapat menetapkan segmentasi pasar internasional?
,Perusahaan dapat mensegmentasi pasar internasional dengan menggunakan satu variabel atau suatu kombinasi dari beberapa variabel. 
10,Bagaimana cara memasuki pemasaran internasional?
,"1. Ekspor.
2. Pemberian Lisensi.
3. Franchise.
4. Joint Venture.
5. Investasi Langsung.
6. Partnership."
11,Strategi pemasaran meliputi apa saja?
,"Strategi pemasaran secara komprehensif meliputi 4P yaitu: product, price, place dan promotion."
12,Strategi pemasaran Global apa yang cocok diterapkan di Indonesia?
,Strategi pemasaran global yang cocok diterapkan di pasar Indonesia adalah penggabungan antara adaptation of marketing strategies dan standard marketing strategy. 
13,Apa yang dimaksud dengan pemasaran internasional dan berikan contohnya?
,"Pasar internasional adalah pasar yang meliputi seluruh kawasan di dunia. Berdasarkan jangkauannya, pasar internasional adalah jenis pasar dengan cakupan yang sangat luas, yakni meliputi seluruh kawasan di dunia ini. Beberapa contohnya adalah pasar lelang tembakau Indonesia di Jerman dan pasar kopi di Brazil"
14,Bagaimana sebuah perusahaan dapat menetapkan segmentasi pasar internasional?
,Perusahaan dapat mensegmentasi pasar internasional dengan menggunakan satu variabel atau suatu kombinasi dari beberapa variabel. 
15,Bagaimana strategi pemasaran dapat dikatakan berhasil?
,Pemasaran dapat dikatakan berhasil apabila perusahaan dapat memproduksi produk sesuai dengan keinginan dan kebutuhan konsumen. 
16,Strategi pemasaran Global apa yang cocok diterapkan di Indonesia?
,Strategi pemasaran global yang cocok diterapkan di pasar Indonesia adalah penggabungan antara adaptation of marketing strategies dan standard marketing strategy.
17,Metode alternatif apa yang dijalankan oleh suatu perusahaan untuk melakukan ekspansi usahanya ke luar negeri?
,"ekspor, pemberian lisensi, franchising, investasi langsung, patungan, pembukaan cabang, dan investasi portofolio."
