No,Pertanyaan dan jawaban
1,Apakah arti pentingnya kualitas air dalam budi daya pembenihan ikan konsumsi?
,"Kualitas air yang baik merupakan syarat mutlak keberhasilan usaha pembenihan. Hal tersebut dapat diukur dari faktor fisika, kimia, dan biologi lingkunganair yang dapatmenunjang kehidupan ikan, yakni seperti berikut:
1. Faktor fisik (temperature, kecerahan, warna, dan bau)
2. Faktor kimia (pH, oksigen terlarut, karbon dioksida bebas, dan kadar nitrat)
3. Faktor biologi (pakan alami, hama, dan penyakit)"
2,Berapakah ukuran temperatur yang baik untuk pembenihan ikan konsumsi?
,"temperatur yang baik untuk pembenihan ikan adalah 25 - 310C, kandungan oksigen terlarut >5 ppm."
3,Sebutkan dua tipe kolam budi daya pembenihan ikan konsumsi!
,ada dua macam/tipe kolam yaitu bak dan kubangan (kolam galian).
4,Bagaimanakah cara melakukan pengapuran?
,Dilakukan dengan kapur Dolomit atau Zeolit dosis 60 gr/m2 untuk mengembalikan keasaman tanah dan mematikan bibit penyakit yang tidak mati oleh pengeringan.
5,Tulislah rumus break event point budi daya pembenihan ikan konsumsi!
,"Rumus perhitungan break event point, yaitu sebagai berikut :
- BEP Poduksi = total biaya
- Total penjualan
- BEP Harga = total biaya
- Harga produksi"
6,Sebutkan sumber daya perikanan Indonesia berdasarkan fungsinya!
,"Berdasarkan fungsinya, sumber daya perikanan Indonesia terdiri dari ikan konsumsi, dan nonkonsumsi."
7,Mengapa kolam pembenihan dan budi daya harus selalu bersih?
,kolam yang akan digunakan bersih agar anakan ikan yang baru menetas tidak terkontaminasi penyakit.
8,Terangkan yang dimaksud tentang pembenihan alami!
,Pembenihan alami dilakukan dengan cara menyiapkan induk betina sebanyak 2 kali jumlah sarang yang tersedia dan induk jantan sebanyak jumlah sarang atau satu pasang per sarang.
9,Jelaskan arti penting pemeliharaan larva dalam pembenihan ikan konsumsi!
,"Pemeliharaan larva merupakan kegiatan yang paling menentukan keberhasilan usaha pembenihan karena sifat larva merupakan stadia paling kritis dalam siklus hidup biota budidaya, termasuk tahapan yang cukup sulit."
10,Apa saja manfaat budidaya ikan konsumsi bagi masyarakat dan lingkungan sekitar? Jelaskan secara komprehensif.
,"Manfaat budidaya ikan konsumsi bagi masyarakat dan lingkungan sekitar meliputi:
1. Meningkatkan perekonomian masyarakat dengan menciptakan lapangan kerja dalam sektor perikanan dan meningkatkan pendapatan petani atau peternak ikan.
2. Menyediakan sumber protein hewani yang lebih terjangkau dan dapat meningkatkan gizi masyarakat.
3. Mengurangi tekanan pada sumber daya alam dan populasi ikan liar dengan mengandalkan ikan yang dibudidayakan.
4. Mendorong keberlanjutan dan pelestarian lingkungan dengan mengimplementasikan praktik budidaya yang ramah lingkungan, seperti penggunaan pakan organik dan pengelolaan limbah yang baik."
11,Apa saja faktor-faktor yang perlu diperhatikan dalam memilih lokasi untuk budidaya ikan konsumsi? Jelaskan secara detail.
,"Faktor-faktor yang perlu diperhatikan dalam memilih lokasi untuk budidaya ikan konsumsi meliputi:
1. Ketersediaan air yang cukup dan berkualitas baik.
2. Keberadaan lahan yang cukup luas dan dapat diakses dengan mudah.
3. Jauh dari sumber polusi seperti industri atau pertanian intensif.
4. Ketersediaan sumber daya seperti listrik dan infrastruktur pendukung lainnya.
5. Kondisi lingkungan yang sesuai dengan jenis ikan yang akan dibudidayakan.
6. Keamanan dan ketersediaan fasilitas pengamanan untuk mencegah pencurian atau serangan hewan predator."
12,Bagaimana proses pemilihan benih ikan yang baik dalam budidaya ikan konsumsi? Jelaskan kriteria-kriteria yang perlu diperhatikan.
,"Pemilihan benih ikan yang baik dalam budidaya ikan konsumsi perlu memperhatikan kriteria-kriteria berikut:
1. Benih ikan yang sehat dan aktif.
2. Ukuran benih yang sesuai dengan fase pertumbuhan yang diinginkan.
3. Benih ikan yang berasal dari sumber yang terpercaya dan bebas penyakit.
4. Benih ikan yang memiliki tingkat adaptasi yang baik terhadap lingkungan budidaya.
5. Benih ikan yang memiliki potensi pertumbuhan dan produktivitas yang tinggi."
13,Di mana ikan nila hidup?
,"berbagai habitat air tawar, termasuk saluran air yang dangkal, kolam, sungai dan danau."
14,Apakah ikan nila kuat?
,Ikan nila adalah ikan yang kuat dan tidak membutuhkan antibiotik untuk pertumbuhannya. Ikan nila adalah ikan yang tumbuh cepat.
15,Apa perbedaan ikan mujair dan ikan nila?
,"Ikan nila berwarna coklat atau abu-abu, biasanya dengan beberapa garis di tubuhnya – terutama di bagian ekor. Selama musim kawin, pejantan akan mengembangkan warna kemerahan pada siripnya. Sementara itu, ikan mujair kurang berwarna, tetapi memiliki sirip punggung panjang yang khas dengan duri di ujungnya."
16,Mengapa ikan nila paling sering dikonsumsi?
,"karena rasanya yang gurih dan cocok untuk diolah menjadi berbagai macam resep, mulai dari digoreng, digulai, dipepes, hingga dibakar dengan bumbu."
17,Berapa lama siklus hidup ikan nila?
,Daur hidup sejak telur sampai menjadi induk berlangsung selama 5 sampai 6 bulan.
18,Berapa lama waktu panen ikan nila?
,Masa pemanenan ikan nila sudah dapat dilakukan setelah masa pemeliharaan 4 - 6 bulan.
19,Apa keunikan ikan nila?
,"Nila juga dikenal sebagai ikan yang cukup tahan terhadap berbagai kondisi air seperti pH, suhu, dan kadar oksigen yang rendah."
20,Ikan nila kaya akan apa?
,"banyak mengandung vitamin B12, fosfor, selenium, dan kalium."
21,Apakah ikan nila bisa hidup tanpa aerator?
,"Ikan nila adalah ikan yang membutuhkan oksigen terlarut yang sangat tinggi untuk memaksimalkan sistem metabolisme dan pertumbuhannya. Maka dari itu, kolam ikan nila membutuhkan alat yang bernama aerator."
22,Apa nama lain dari ikan nila?
,Oreochromis niloticus 
23,Berapa ekor ikan nila dalam 1 kolam?
,"Idealnya populasi untuk kolam berukuran 1 m2 adalah sebanyak 10-15 ekor. Adapun ukuran kolam ikan nila untuk 1000 ekor adalah sebesar 100 m2 atau 10 x 10 m. Apabila dana yang dimiliki terbatas untuk membuat kolam, maka minimum ukuran kolam untuk 1000 ekor bisa menggunakan kolam 2 x 4 m"
24,Berapa kali sehari ngasih makan ikan nila?
,"Dalam sehari, ikan nila dapat diberi makan sebanyak 3 kali, yaitu pada pagi, siang, dan sore."
25,Berapa kali ikan nila bertelur dalam setahun?
,"Ikan nila dapat memijah 4 kali dalam setahun, bahkan bisa lebih jika dilakukan dengan intens dan jika induk betina berumur ± 8 bulan hingga 3 tahun"
26,Kenapa ikan nila pertumbuhan lambat?
