No,Pertanyaan dan jawaban
1,Apa tujuan dari pembesaran ikan?
,"Tujuan utama budidaya perikanan adalah memproduksi biota akuatik untuk memenuhi kebutuhan manusia akan pangan, terutama protein, dan bukan pangan."
2,Apakah fungsi kolam pembesaran ikan?
,Kolam pembesaran berfungsi sebagai tempat untuk memelihara dan membesarkan benih selepas dari kolam pendederan.
3,Apa itu proses pembesaran ikan?
,"Dalam kegiatan pembesaran, ikan didorong untuk tumbuh secara maksimum hingga mencapai ukuran pasar (marketable size) melalui penyediaan lingkungan media hidup ikan yang optimal, dan pemberian pakan yang tepat jumlah, mutu, cara, waktu serta pengendalian hama dan penyakit."
4,Jelaskan apa yang dimaksud dengan pembesaran ikan secara intensif?
,Sedangkan usaha pembesaran ikan secara intensif adalah usaha pembesaran ikan Mas yang mempergunakan air berlimpah dan pemberian pakan bergizi.
5,Apa saja yang bahan yang digunakan dalam pembesaran ikan konsumsi?
,"Benih, pakan,pupuk, air, kapur, dan obat- obatan"
6,jelaskan pengertian feed convertion ratio (FCR)
,"FCR (Food Convertion Ratio) adalah perbandingan antara berat pakan ikan yang sudah diberikan dalam siklus periode tertentu, dengan berat total (biomass) yang dihasilkan."
7,jelaskan pengertian feeding habits
,"Foods habits (makanan yang biasa dikonsumsi) adalah kualitas dan kuantitas makanan yang dimakan, sedangkan feeding habits (kebiasaan makan) adalah waktu dan tempat makan, serta cara makanan didapat oleh ikan."
8,bagaimana cara menhitung kebutuhan pakan per hari
,Jumlah Pakan Perhari = Bobot Berat Ikan ( sampling dalam kg) x Padat Tebar Kolam x 3%
9,jelaskan defenisi survival rate
,persentase perbandingan antara jumlah organisme yang hidup pada akhir periode pemeliharaan dengan jumlah organisme yang hidup pada awal periode pemeliharaan .
10,Langkah langkah proses pemanenan ikan ?
,"1. Memastikan ikan siap panen lewat sampling.
2. Mengambil ikan yang siap dipanen.
3. Menimbangnya.
4. Menampungnya di bak.
5. Membawanya ke darat."
11,sebutkan dan jelaskan indikator yang mempengaruhi dalam pembesaran ikan
,"1. Benih ikan berkualitas
2. Persiapan media budidaya
3. Menjaga kualitas air
4. memberi pakan yang berkualitas
5. menjaga kolam agar tetap bersih dari sampah luar"
12,Langkah langkah dalam persiapan wadah budidaya adalah?
,"pengeringan dasar kolam, perbaikan pematang, pengolahan dasar kolam, perbaikan saluran air masuk dan keluar, pemupukan, pengapuran dan pengisian air kolam."
13,jelaskan pengertian padat tebar
,"Sistem Padat Tebar Tinggi adalah suatu teknologi budidaya yang bertujuan untuk meningkatkan produktivitas kolam dengan cara merekayasa konstruksi kolam, ikan, pakan dan air sehingga pada periode tertentu mampu menampung ikan dalam tingkat kepadatan tinggi"
14,jelaskan proses aklimatitasi
,Padat penebaran adalah jumlah ikan yang ditebarkan atau dipelihara dalam satuan luas tertentu.
15,jelaskan hama yang sering menyerang ikan pada saat pembesaran ikan
,"larva serangga, serangga air, ikan carnivora, ular, biawak, buaya , notonecta atau bebeasan, larva cybister atau ucrit, berang-berang atau lisang, larva capung, trisipan."
16,jelaskan penyebab ikan sakit
,"Sumber penyakit yang menyerang ikan bisa dikarenakan infeksi bakteri, infeksi jamur, infeksi parasit, dan beberapa penyakit lain seperti cedera, konstipasi, tumor atau kelainan, dan penyakit bawaan."
17,"jelaskan pengertian bakteri, parasit, dan virus"
,"Bakteri dapat hidup dan berkembangbiak di lingkungan, sementara yang lain beradaptasi dengan kehidupan dengan manusia atau hewan sebagai inangnya."
18,Bagaimana proses budidaya pembesaran ikan konsumsi ?
,"1. Tentukan lokasi atau lahan terbuka. Budidaya ikan tentu memerlukan kolam yang luas, bersih, serta nyaman
2. Pilih benih yang berkualitas tinggi
3. Perhatikan kualitas air kolam
4. Bersihkan kolam ikan secara rutin"
19,Jelaskan 3 langkah proses budidaya pembesaran ikan ?
,"Wadah budidaya, pemilihan benih, dan penebaran benih"
20,Jelaskan apa yang dimaksud dengan pembesaran ikan secara intensif?
, Pembesaran ikan secara intensif adalah usaha pembesaran ikan Mas yang mempergunakan air berlimpah dan pemberian pakan bergizi.
21,Mengapa dalam budidaya pembesaran ikan konsumsi kualitas air sangat penting?
,"Kualitas air merupakan faktor yang sangat penting dalam pemeliharaan ikan, karena akan menentukan hasil yang diperoleh. Kondisi kualitas air juga berperan dalam menekan terjadinya peningkatan perkembangan bakteri pathogen dan parasit di dalam media pemeliharaan."
22,Apayang dimaksud teknik pembesaran ikan secara ekstensif ?
,Pembesaran ikan secara ekstensif yaitu teknik pembesaran ikan yang hanya mengandalkanpakan alami yang terdapat dalam kolam budidaya. Pada pola pembesaran ini kesuburan perairan akan sangat menentukan tumbuhnya pakan alami. Pembesaran dapat dilakukan pada kolam tergenang dan disawah.
23,Berapa kisaran Ph air yang ideal untuk pembesaran ikan ?
,"Pada pH rendah,akan menghambat pergerakan ikan. atas dasar ini,maka usaha budidaya perairan akan berhasil baik dengan pH 6,5-9,0 dan kisaran optimal adalah 7,0-8,7"
24,Apakah suhu mempengaruhi pertumbuhan ikan ?
,Suhu optimal akan membuat ikan memiliki metabolisme optimal yang berdampak baik pada pertumbuhan dan pertambahan bobot ikan. Suhu rendah akan mengakibatkan laju metabolisme ikan menjadi lambat dan menyebabkan nafsu makan ikan menjadi menurun dan akhirnya ikan akan mengalami pertumbuhan yang lambat (stickney 2000).
25,Air apa saja yang dapat digunakan pembesaran ikan ?
,"Untuk budidaya ternak ikan hias air tawar, sediakanlah air dengan kandungan kimiawi zero dengan suhu air yang sebaiknya berkisar antara 24-30 C. Selain itu, keasaman air (PH) harus kurang lebih 6-7, oksigen terlarutnya >3 ppm serta kecerahan air berkisar 30-60 cm."
26,Apa kegunaan budidaya pembesaran ikan konsumsi ?
,"Budidaya ikan konsumsi merupakan salah satu upaya untuk menyediakan kebutuhan pangan sebagai sumber protein. Sumber protein dari ikan makin hari mengalami peningkatan, seiring dengan meningkatnya kesadaran masyarakat tentang pentingnya kandungan gizi ikan."
27,Kenapa pada saat panen ikan haeus dilakukan di paagi atau sore hari ?
,"Pemanenan sebaiknya dilakukan pada waktu pagi hari, sore hari atau malam hari untuk menghindari fluktuasi suhu yang terlalu tinggi."
28,Apa perbedaan antara panen dan pasca panen ?
,"Panen adalah pemetikan hasil budidaya sebagai kegiatan akhir dari siklus budidaya, sedangkan pasca panen adalah penanganan hasil tanaman segera setelah dilakukan panen"
29,Langkah-langkah panen total ?
,Panen total dilakukan dengan cara mengeringkan kolam hingga ketinggian air 10-20 cm. Petak pemanenan atau petak penangkapan dibuat seluas 2 m2 di depan pintu pengeluaran untuk memudahkan penangkapan. Pemanenan dilakukan pada pagi hari atau sore hari saat keadaan tidak panas menggunakan waring halus.
30,Apakah air hujan bagus untuk ikan ?
,Oksigen yang dihasilkan dari proses fotosintesis Cyanobacteria dan Gloeotrichia echinulata sangat baik bagi ikan karena dapat meningkatkan nafsu makannya.
31,Langkah - langkah panen total ?
,Panen total dilakukan dengan cara mengeringkan kolam hingga ketinggian air 10-20 cm. Petak pemanenan atau petak penangkapan dibuat seluas 2 m2 di depan pintu pengeluaran untuk memudahkan penangkapan. Pemanenan dilakukan pada pagi hari atau sore hari saat keadaan tidak panas menggunakan waring halus.
32,Jelaskan langkah langkah dasar dalam budidaya ikan ?
,"1. Persiapkan lahan yang tepat
2. Siapkan bibit Ikan air tawar yang berkualitas
3. Tebarkan bibit Ikan air tawar sesuai luas Kolam
4. Pemberian pakan Ikan dan Vitamin Ikan
5. Tetapkan suhu dengan baik dan benar
6. Selalu Jaga kondisi dan ekosistem Kolam
7. Proses panen Ikan air Tawar"
33,Langkah pertama yang harus dilakukan ketika melakukan panen ikan lele ?
,"Untuk memanen lele, pertama, kuras air kolam ikan lele sampai kering. Pengurasan air kolam bisa dilakukan dengan menggunakan lubang pembuangan yang ada di kolam atau menggunakan selang air. Jika air kolam sudah dikeluarkan semua, ambil ikan lele yang sudah siap panen dengan menggunakan jaring"
34,Apa saja standar panen ikan ?
,"1. Panen hanya dapat dilakukan setelah tanaman memasuki usia panen untuk memberi hasil optimal.
2. Jika tubuh induk masih diperlukan untuk periode tanam berikutnya, panen harus dilakukan tanpa merusak tubuh induk tanaman."
35,Apa yang dimaksud dengan usaha pembesaran ikan ?
,Pembesaran ikan konsumsi merupakan proses budidaya yang bertujuan untuk memperoleh ikan ukuran konsumsi. Budidaya pembesaran ikan merupakan salah satu segmen usaha yang banyak dilakukan para pembudidaya ikan.
36,Apa tujuan dari pengeringan dasar kolam ?
,"Pengeringan dasar kolam tanah dilakukan untuk memutus siklus hidup hama dan penyakit yang mungkin ada pada periode budidaya sebelumnya. Sebagian besar mikroorganisme pathogen akan mati dengan sinar matahari. Selain itu, penjemuran juga membantu menghilangkan gas-gas beracun yang terperangkap di dasar kolam."
37,Berapa lama pembesaran ikan gurame ? 
,"Jika pada umumnya ikan gurame mencapai bobot siap panen dalam waktu 1 tahun, ikan gurame angsa bisa mencapai bobot siap panen (500 gr) dalam 9 bulan."
38,Bagaimana agar ikan lele cepat besar ?
,"Jadi cara membuat ikan lele cepat besar adalah dengan menjaga kualitas pakan ikan lele. Kualitas dari pakan ikan lele akan menentukan tumbuh kembang ikan lele Bapak/Ibu. Sama seperti makhluk hidup lain, ikan lele membutuhkan nutrisi untuk tumbuh dan berkembang"
39,Pakan apa yang bagus untuk ikan pembesaran ?
,"1. Pelet
2. Daun kangkung
3. Pelet dicampur dengan Probiotik
4. Ampas kelapa
5. Dedak
6. Plankton dan Fitoplankton
7. Kutu Air
8. Lumut"
40,Bagaimana cara mempercepat pertumbuhan ikan gurame ?
,"1. Pilih jenis Ikan gurame yang tepat
2. Perhatikan Kebutuhan nutrisi Ikan gurame
3. Lakukan manajemen pakan yang Tepat
4. Perhatikan kenyamanan Ikan gurame di kolam"
41,Apa yang dimaksud dengan pakan ikan yang berkualitas ?
,"Pakan berkualitas adalah pakan yang kandungan protein, lemak, karbohidrat, mineral dan vitaminnya seimbang"
42,Faktor apa saja yang mempengaruhi budidaya ikan ?
,"pertumbuhan ikan dipengaruhi oleh beberapa faktor antara lain pakan, wadah budidaya, suhu, salinitas, musin dan aktivitas fisik. Semakin tinggi jumlah pemberian pakan memberikan pertumbuhan yang sedikit lebih tinggi pertumbuhannya."
43,Faktor apa saja yang menjadi penghambat dalam pembesaran ikan ?
,"Faktor penghambat dalam kegiatan pembesaran adalah ketersediaan pakan dalam jumlah yang belum cukup sehingga diperlukan pembuatan pakan mandiri untuk mencukupi ketersediaan pakan tersebut (Seto et al., 2019). Pakan mandiri yang digunakan harus memiliki nilai nutrisi yang baik."
44,Jelaskan apa yang dimaksud dengan pertumbuhan pada ikan ?
,"Pertumbuhan ikan dipengaruhi oleh beberapa faktor antara lain pakan, wadah budidaya, suhu, salinitas, musin dan aktivitas fisik. Semakin tinggi jumlah pemberian pakan memberikan pertumbuhan yang sedikit lebih tinggi pertumbuhannya."
45,Apa saja faktor yang mempengaruhi kualitas air dalam pembesaran ikan ?
,"Suhu air, salinitas, pH, dan oksigen terlarut (DO)."
46,Bagaimana ciri - ciri ikan dengan kualitas baik ?
,"1. Warnanya cerah
2. Tidak berbau amis
3. Matanya jernih
4. Mulutnya mengatup atau tertutup
5. Sisiknya masih menempel kuat
6. Dagingnya segar dan elastis
7. Dapat tenggelam di air
8. Ekornya kaku, tidak terkena penyakit"
47,Berapa lama proses pembesaran ikan mas ?
,"Budidaya ikan mas biasanya dilakukan selama 6 higga 8 bulan sejak penebaran benih dilakukan. Ikan mas yang dapat dipanen adalah ber ukuran 300 sampai 400 gram per ekor, dan disortir berdasarkan ukurannya."
48,Apa saja yang harus dilakukan dalam proses pemeliharaan dan pembesaran ikan hias ?
