No,Pertanyaan dan jawaban
1,Apa definisi Akuakultur ?
,"Perikanan Budidaya = Budidaya perairan = Akuakultur, campur tangan (Upaya-upaya manusia untuk meningkatkan produktifitas perairan melalui kegiatan budidaya"
2,Bagaimana akuakultur meningkatkan produktivitas perairan?
,"Adanya teknologi seperti rekayasa wadah dan kualitas air, rekayasa nutrisi, rekayasa reproduksi dan genetika, dan pengelolaan kesehatan ikan serta adanya SDM (Sumber daya manusia)"
3,Apa saja intervensi pada induk dan produksi bibit ?
,"Pemilihan indukan, pembalikan jenis kelamin, hibridisasi, triploidisasi, seleksi gen, transgenik dan inseminasi buatan"
4,Apa saja sumberdaya air dan lokasi akuakultur ?
,"Perairan tawar, perairan payau, dan perairan laut"
5,Jelaskan apa saja yang termasuk sumberdaya perairan tawar ?
,"Perairan berbentuk aliran, perairan berbentuk genangan, dan perairan berbentuk curahan"
6,Jelaskan apa saja yang termasuk sumberdaya perairan payau ?
,"Muara sungai, pantai, rawa dan paluh"
7,Jelaskan apa saja yang termasuk sumberdaya periaran laut?
,"Berdasarkan kedalaman, berdasarkan keterlindungan"
8,Bagaimana karakteristik perairan tawar ?
,Salinitas 0-5 ppt (part per thousand)
9,Contoh perairan berbentuk aliran apa saja?
,Sungai dan saluran irigasi
10,Contoh perairan berbentuk genangan apa saja?
,"Danau, waduk, dan situ"
11,Apa yang dinaksud dengan Oligotrofik ?
,Danau yang tidak subur
12,Apa yang dinaksud dengan Eutrofik ?
,Danau yang subur
13,Apa yang dimaksud dengan Mesotrofik ?
,Danau dengan kesuburan sedang
14,Apa yang dimaksud dengan Bioflok ?
,"Sistem bioflok adalah memanfaatkan aktivitas mikro organisme atau bakteri pembentuk gumpalan/flok yang bisa menghasilkan pakan untuk ikan, cara ini menghemat biaya pakan"
15,Perairan apa yang ppt nya (6-29) ?
,"Perairan payau di muara sungai dan pantai, perairan payau di rawa, dan periran payau di paluh"
16,Perairan apa yang ppt nya (30-35) ?
,"Berdasarkan kedalaman laut dangkal (Shallow sea) <30m, laut dalam (deep sea) >30m, dan berdasarkan keterlindungannya laut terbuka dan laut terlindung seperti teluk,selat dan Shallow sea"
17,Apa saja kriteria seleksi lokasi akuakultur ?
,"Kualitas dan kuantitas air, topografi dan evaluasi lahan, ketersediaan dn penggunaan lahan dan air, kualitas tanah, iklim, dan akses pada bahan dan pasar"
18,Apa definisi sistem dan teknologi akuakutur ?
